ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PM10 BRAKE,g/h,5.82193474,4.17717365,4.01651958,4.23724393,5.7871836,11.24800343,18.78854874,21.22577293,22.43801717,21.31770767,22.23239546,22.3212766,20.50591889,22.62770919,21.38874603,25.3466734,24.27303732,23.34812641,23.14123476,22.70367404,20.35855104,16.42554165,13.81223615,9.12876718,5.82193474,
42,39,4.728607,-74.05397,PM10 TIRE,g/h,0.87622072,0.65037389,0.62024688,0.63381654,0.72115018,1.38102239,2.62513078,3.04197338,3.23960591,3.13152061,3.35373407,3.33251879,3.02096254,3.34691796,3.17109862,3.78748714,3.73416164,3.62145237,3.59122426,3.50211428,3.12192775,2.50632412,2.01235947,1.32976913,0.87622072,
42,39,4.728607,-74.05397,PCA,g/h,0.01571438,0.01189143,0.01194305,0.01400082,0.02846287,0.05550805,0.0727684,0.07565816,0.07945974,0.0741137,0.07299657,0.0741963,0.06986641,0.07585548,0.06991731,0.08021572,0.06950428,0.0644397,0.06113867,0.06303796,0.05646396,0.04516872,0.04197042,0.02792722,0.01571438,
53,37,4.8272,-74.072,ISOP,mol/h,0.00160722,0.00113425,0.00113234,0.00129267,0.00313231,0.00658418,0.00886107,0.00924021,0.00997923,0.0092947,0.0084586,0.00879988,0.00800688,0.00836242,0.00764168,0.0088271,0.00731747,0.00693361,0.00676698,0.00683958,0.0059428,0.00482774,0.00472984,0.00321209,0.00160722,
42,39,4.728607,-74.05397,PCL,g/h,0.00409818,0.00306043,0.0031948,0.00389039,0.00920851,0.01767089,0.02113727,0.02148056,0.02290911,0.02138031,0.0203753,0.02083921,0.01929952,0.02082255,0.01912813,0.02189911,0.01806535,0.01641227,0.01564946,0.01661408,0.01483768,0.01182091,0.01156639,0.00776016,0.00409818,
53,37,4.8272,-74.072,PSI,g/h,0.10133044,0.07594952,0.0784714,0.09457663,0.21562385,0.41519244,0.5077872,0.5191034,0.55159792,0.51481303,0.49479219,0.50517106,0.46973082,0.50766302,0.46683761,0.5348414,0.44715272,0.40852311,0.38911223,0.40979491,0.36623357,0.29204132,0.28173666,0.1886239,0.10133044,
53,37,4.8272,-74.072,PM2.5,g/h,23.11528229,16.71544729,16.8153479,19.75513485,43.01510867,85.3130233,111.30305699,116.67253999,123.87520435,114.82458616,110.16051572,113.19025177,105.61167907,113.14531788,104.56110563,120.03282289,102.47869472,95.40636629,91.86912695,94.25802843,84.11267117,68.00284501,64.21756588,43.15385275,23.11528229,
53,37,4.8272,-74.072,BEN,mol/h,0.16181496,0.12823417,0.11641333,0.12903932,0.16487727,0.36747567,0.63210004,0.66149706,0.63020537,0.56717174,0.60204896,0.61255328,0.63585869,0.70737294,0.63898046,0.72658459,0.67757336,0.64878895,0.58437243,0.56330701,0.51318238,0.41316903,0.3662719,0.23985316,0.16181496,
53,37,4.8272,-74.072,PM 2.5 TIRE,g/h,1.74797553,1.29743306,1.23733258,1.26440269,1.43862495,2.755006,5.23688146,6.06844192,6.46269976,6.24708018,6.69037445,6.64805204,6.02652724,6.67677672,6.32603413,7.55566971,7.44929041,7.22444624,7.16414433,6.98637865,6.22794337,4.99987367,4.01446222,2.65276059,1.74797553,
53,37,4.8272,-74.072,PNO3,g/h,0.08326766,0.06245321,0.06448927,0.07779551,0.177371,0.34188266,0.41827155,0.42738669,0.45378457,0.42323849,0.40674262,0.41546437,0.38669304,0.41787652,0.38404849,0.43979271,0.36743074,0.33564011,0.31936139,0.33638952,0.30071772,0.23991012,0.23164509,0.15509641,0.08326766,
