LON_1,Largo_Via,FID_Grilla,LON,CLASIFI_SU,IDEstacion,FID_LINK,Shape_Leng,LAT,IDNodo,COL,LAT_1,ROW,FID,hora,>C5_DSEL,>C5_GNV,>C5_GAS,AL_DSEL,AT_DSEL,AUT_GNV,AUT_GAS,BA_DSEL,BT_DSEL,B_DSEL,C2G_DSEL,C2G_GNV,C2G_GAS,C2P_DSEL,C2P_GNV,C2P_GAS,C3-C4_DSEL,C3-C4_GNV,C3-C4_GAS,CC_DSEL,CC_GNV,CC_GAS,ESP_DSEL,ESP_GNV,ESP_GAS,INT_DSEL,INT_GNV,INT_GAS,MB_DSEL,M_GAS,TX_GNV,TX_GAS,C5_DSEL,C5_GNV,C5_GAS,NH>C5_DSEL,NH>C5_GNV,NH>C5_GAS,NHAL_DSEL,NHAT_DSEL,NHAUT_GNV,NHAUT_GAS,NHBA_DSEL,NHBT_DSEL,NHB_DSEL,NHC2G_DSEL,NHC2G_GNV,NHC2G_GAS,NHC2P_DSEL,NHC2P_GNV,NHC2P_GAS,NHC3-C4_DSEL,NHC3-C4_GNV,NHC3-C4_GAS,NHCC_DSEL,NHCC_GNV,NHCC_GAS,NHESP_DSEL,NHESP_GNV,NHESP_GAS,NHINT_DSEL,NHINT_GNV,NHINT_GAS,NHMB_DSEL,NHM_GAS,NHTX_GNV,NHTX_GAS,NHC5_DSEL,NHC5_GNV,NHC5_GAS
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,0,0.543738194831,0.204439636846,0.703822168324,0.924,0.44,0.537900141651,25.7775644295,0.0,1.848,0.528,3.11726402665,0.361485147362,0.598584159325,0.79613577659,0.0923217462688,0.152875810475,0.28559985991,0.107382435515,0.369684371241,1.54215442993,0.222104885807,9.27730523447,0.0447161189358,0.00538466353678,1.69523255086,0.174287946543,0.126920380365,0.109458339758,0.088,6.336,4.38093818534,2.39403269327,0.411922874871,0.154878512762,0.533198612366,0.768922699761,0.289106557155,0.995304076417,1.50333333333,0.476666666667,1.59010360917,76.2018729149,0.0,1.65,0.256666666667,2.66313023858,0.3088227428,0.511380351942,0.448527198079,0.052012251419,0.086127217169,0.233422962428,0.087764490565,0.302145880342,4.55881145038,0.656571272601,27.4249352146,0.0610619271183,0.00735300693048,2.31491839929,0.171175661783,0.124653945001,0.107503726548,0.0366666666667,8.83666666667,12.95062983,7.07707570843,0.219692199932,0.082601873473,0.284372593263
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,1,0.560215109826,0.210634777356,0.725150112819,0.0146666666667,0.0293333333333,0.285843245763,13.6983468006,0.0,0.924,0.190666666667,2.18657009063,0.253559725668,0.4198701837,0.706430336973,0.0819192959849,0.135650367041,0.302076774905,0.113577576025,0.391012315736,0.819509781805,0.118027820673,4.93001364902,0.0372008048289,0.0044796780684,1.4103195171,0.093368542791,0.0679930609098,0.0586383962991,0.044,3.32933333333,2.32805588512,1.27220281706,0.313061384902,0.117707669699,0.405230945398,0.590422787317,0.221992534958,0.764251344393,0.0,0.0,1.19771716486,57.3977007903,0.0,0.44,0.22,2.85936088775,0.331578102797,0.549061009453,0.448527198079,0.052012251419,0.086127217169,0.164769149949,0.0619514051046,0.213279444947,3.43384336341,0.494550593189,20.6573429947,0.0460312989046,0.00554303599375,1.74509233177,0.155614237985,0.113321768183,0.0977306604987,0.0366666666667,7.81,9.75483078821,5.33068097206,0.205961437436,0.0774392563809,0.266599306184
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,2,0.593168939816,0.223025058377,0.767806001807,0.0,0.044,0.233644229027,11.1968350646,0.0,0.674666666667,0.102666666667,2.09686465102,0.243157275383,0.402644740265,1.34558159424,0.156036754257,0.258381651506,0.378969044883,0.142488231741,0.490542723376,0.669855712832,0.0964742724328,4.02972347672,0.0338189134809,0.00407243460765,1.28210865191,0.20541079414,0.149584734002,0.129004471858,0.0,2.52266666667,1.90291997615,1.03988060156,0.318553689901,0.119772716536,0.412340260231,0.535499737333,0.20134206659,0.693158196078,0.0,0.0366666666667,1.14364112869,54.8062374336,0.0,0.403333333333,0.0366666666667,2.38280073979,0.276315085664,0.457550841211,0.840988496396,0.0975229714107,0.161488532192,0.329538299897,0.123902810209,0.426558889893,3.27880789812,0.472222002976,19.7246793744,0.0432130561144,0.0052036664431,1.63824994411,0.171175661783,0.124653945001,0.107503726548,0.11,5.79333333333,9.31440745785,5.09000470429,0.151038387453,0.0567887880127,0.195506157868
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,3,0.950168764703,0.357253102771,1.22991146586,0.528,0.0586666666667,0.303719621359,14.5550289019,0.0,0.850666666667,0.44,2.94906632737,0.341980553081,0.566286452886,1.24466297467,0.144333997688,0.239003027644,0.560215109826,0.210634777356,0.725150112819,0.870761175288,0.12540917281,5.23833220119,0.0315643192489,0.00380093896714,1.19663474178,0.230309072217,0.167716216911,0.144641377538,0.088,2.93333333333,2.47365037449,1.35176521963,0.488815144849,0.183789168477,0.632729020009,0.851307274734,0.320082259708,1.10194379889,0.0,0.0366666666667,1.13783130662,54.5278157508,0.0,0.44,0.22,2.60706433882,0.302321211372,0.500614449795,0.756889646757,0.0877706742697,0.145339678973,0.288346012409,0.108414958933,0.373239028657,3.26215119525,0.46982306353,19.6244758449,0.0394553990611,0.00475117370893,1.49579342723,0.140052814187,0.101989591365,0.0879575944487,0.0733333333333,7.04,9.2670892488,5.06414692346,0.329538299897,0.123902810209,0.426558889893
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,4,1.79049142944,0.673205268804,2.31763663509,2.00933333333,1.92133333333,0.679481036364,32.5624866723,0.161333333333,3.18266666667,3.608,6.51485755208,0.755477951862,1.25099782938,2.60145774885,0.301671058231,0.499537859581,1.16986096464,0.439854976244,1.51428405912,1.94806546632,0.280565194734,11.7191881676,0.281824279007,0.0339369550637,10.6842387659,0.995931123106,0.725259316371,0.625476227191,0.968,7.09866666667,5.53404654119,3.02416692162,0.906230324718,0.340732728076,1.17303694721,1.20830709962,0.4543103041,1.56404926294,1.24666666667,1.21,0.98543520467,47.2246008368,0.0,2.2,1.54,4.12084363236,0.477862559913,0.79129380774,1.73804289256,0.201547474249,0.333742966531,0.782653462257,0.294269174247,1.0130773635,2.8252330658,0.406897036561,16.9960601878,0.0742137268052,0.00893673150011,2.81351620836,0.855878308919,0.623269725005,0.537518632741,0.623333333333,5.64666666667,8.02589622685,4.38587744157,0.535499737333,0.20134206659,0.693158196078
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,5,1.85090678442,0.695920784009,2.39583909822,3.27066666667,6.644,3.47248595932,166.410498187,1.34933333333,5.44133333333,8.59466666667,16.0236341514,1.85813768195,3.07689483336,4.75438829963,0.551329865042,0.912948501991,2.08707589935,0.784717797994,2.70153963598,9.95558318423,1.43382765264,59.8908787569,1.25693628437,0.151358819584,47.651704896,2.32176443074,1.69076078129,1.45814145464,2.56666666667,36.96,28.2817295614,15.4549966988,1.26323014961,0.474960772469,1.63514241126,1.82619141193,0.686628073243,2.3638471815,2.56666666667,4.07,1.70495932237,81.706055416,0.476666666667,3.70333333333,6.27,8.5220167635,0.988232776962,1.63641712621,3.27985513594,0.380339588501,0.629805275548,1.44173006205,0.542074794666,1.86619514328,4.88810165351,0.703996460081,29.4058819122,0.170033981668,0.0204752962218,6.44615738877,1.66507234644,1.21254291956,1.04571806733,1.94333333333,22.9533333333,13.8860744242,7.58826414493,0.782653462257,0.294269174247,1.0130773635
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,6,0.252646029922,0.0949921544939,0.327028482251,2.88933333333,14.2266666667,6.18933752224,296.609043949,2.58133333333,5.236,10.1493333333,11.5495753505,1.33931547404,2.21777584211,5.12442323804,0.594239972462,0.984003456157,0.911722629717,0.342797774913,1.18014626204,17.7447699659,2.55564555046,106.749132314,2.05543840823,0.247513525598,77.9237147328,2.33421356978,1.69982652274,1.46595990748,2.86,103.825333333,50.4091800566,27.5468906412,0.241661419925,0.0908620608203,0.312809852588,0.837576512238,0.314919642616,1.08417051181,1.68666666667,9.05666666667,3.96676774452,190.097758289,0.733333333333,3.70333333333,8.94666666667,11.4935094508,1.33281394261,2.20700993995,4.8777332791,0.565633234181,0.936633486712,1.18084557463,0.443985069917,1.52850268878,11.3726842141,1.63792203924,68.415886724,0.275248379164,0.0331450927788,10.4349398614,2.19416075559,1.59783693138,1.37800231303,2.89666666667,53.4966666667,32.3074171926,17.6548971298,0.453115162359,0.170366364038,0.586518473603
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,7,0.0768922699761,0.0289106557155,0.0995304076417,2.552,20.9586666667,4.58082124621,219.52478847,3.44666666667,5.456,10.6773333333,9.69940065844,1.12476493694,1.86250107128,4.02553160275,0.466809956485,0.772991774093,0.41741517987,0.156943559599,0.540307927199,13.1331695802,1.89147148515,79.0066289907,1.06679883747,0.128462687234,40.4434051419,2.85085283989,2.07605479311,1.79042570033,3.15333333333,107.653333333,37.3085879027,20.3878656581,0.0439384399863,0.0165203746946,0.0568745186524,0.86503803723,0.325244876801,1.11971708597,1.13666666667,15.9133333333,4.92538838581,236.037335974,0.953333333333,3.81333333333,6.12333333333,11.1010481524,1.28730322262,2.13164862493,3.02755858702,0.351082697079,0.581358715892,0.919961087214,0.345895345169,1.19081023429,14.1210401896,2.03374704759,84.9494690836,0.216065280572,0.0260183322155,8.19124972054,2.16303790799,1.57517257774,1.35845618093,2.56666666667,58.7033333333,40.1149216853,21.9214309676,0.453115162359,0.170366364038,0.586518473603
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,8,0.19223067494,0.0722766392889,0.248826019105,2.21466666667,20.4746666667,5.14106685734,246.373205527,3.344,6.27733333333,11.1906666667,13.0297151042,1.51095590372,2.50199565876,6.5821366318,0.763279789576,1.26391691195,1.47193773954,0.553432552268,1.90529637486,14.739388252,2.12280306113,88.6693324154,0.696669617706,0.0838921529175,26.4114382294,3.31147098432,2.41148722694,2.07970845541,2.75733333333,83.1746666667,41.8715191996,22.8813513546,0.186738369942,0.0702115924521,0.241716704273,0.700268887283,0.263293471694,0.906437641023,0.843333333333,16.6466666667,5.37453232261,257.56147377,0.843333333333,3.96,7.48,12.3064649973,1.42708614831,2.36311552107,3.64428348438,0.422599542781,0.699783639498,1.18084557463,0.443985069917,1.52850268878,15.4087314509,2.21920352003,92.6959727067,0.181306952828,0.0218327744243,6.87352693942,2.14747648419,1.56384040092,1.34868311488,2.27333333333,50.93,43.7729832309,23.9204363321,0.411922874871,0.154878512762,0.533198612366
-74.07196,329.26,3428.0,-74.07196,Local,1.0,360.0,329.259724639,4.827202,3493.0,37.0,4.827202,53.0,360,9,0.373476739885,0.140423184904,0.483433408546,1.73066666667,17.0866666667,5.45211579271,261.279474091,2.69866666667,6.93733333333,10.1346666667,13.8146377008,1.60197734371,2.65271828881,6.06633035402,0.703465700443,1.16487061221,0.939184154707,0.353123009096,1.2156928362,15.6311624986,2.2512385883,94.034075223,0.260781399507,0.0314029957523,9.8864822714,2.39023469544,1.74062235929,1.50114294526,2.53733333333,64.6653333333,44.4048633149,24.2657371592,0.269122944917,0.101187295004,0.348356426746,0.86503803723,0.325244876801,1.11971708597,0.99,13.7133333333,5.31732792072,254.820091046,0.953333333333,3.37333333333,6.12333333333,12.3905638469,1.43683844545,2.3792643743,4.90576622899,0.568883999895,0.942016437787,0.919961087214,0.345895345169,1.19081023429,15.2447269918,2.1955831932,91.7093533398,0.153124524927,0.018439078918,5.80510306281,2.085230789,1.51851169365,1.30959085068,2.34666666667,41.69,43.307080865,23.6658366439,0.425653637367,0.160041129854,0.550971899445
