Pollutant,AUT_GAS,,AUT_GNV,,CC_GAS,,CC_DSEL,,CC_GNV,,TX_GAS,,TX_GNV,,MB_DSEL,,BT_DSEL,,B_DSEL,,AL_DSEL,,AT_DSEL,,BA_DSEL,,ESP_GAS,,ESP_DSEL,,ESP_GNV,,INT_DSEL,,INT_GAS,,INT_GNV,,C2P_DSEL,,C2P_GAS,,C2P_GNV,,C2G_DSEL,,C2G_GAS,,C2G_GNV,,C3-C4_DSEL,,C3-C4_GAS,,C3-C4_GNV,,C5_DSEL,,C5_GAS,,C5_GNV,,>C5_DSEL,,>C5_GAS,,>C5_GNV,,M_GAS,
,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre,FE,Incertidumbre
PM2.5,0.006809365053859737,0.0,0.003,0.0,0.008214304191957593,0.0,0.07407362870287594,0.0,0.003,0.0,0.014313593892205637,0.0,0.003,0.0,0.6397059267551134,0.0,0.40926564013266997,0.0,0.33669717988005377,0.0,0.11552939523564264,0.0,0.35241054003424704,0.0,0.04840189964495333,0.0,0.03531659709784411,0.0,0.40926564013266997,0.0,0.013,0.0,0.5918344638151981,0.0,0.017918312999982974,0.0,0.013000000000000001,0.0,0.22762454573984675,0.0,0.01588963850580431,0.0,0.003,0.0,0.22762454573984675,0.0,0.01588963850580431,0.0,0.003,0.0,0.9456729705638477,0.0,0.030604682835820893,0.0,0.003,0.0,0.9456729705638477,0.0,0.030604682835820893,0.0,0.003,0.0,0.9456729705638477,0.0,0.030604682835820893,0.0,0.003,0.0,0.02203215017011746,0.0
PM10,0.0076975101903873815,0.0,0.003,0.0,0.009285696759067692,0.0,0.08051502719961033,0.0,0.0,0.0,0.01618051940464345,0.0,0.0,0.0,0.6953346039248204,0.0,0.4448551343283582,0.0,0.3659762256333276,0.0,0.125575763945964,0.0,0.3830559868249645,0.0,0.052610933517664944,0.0,0.03992298946932006,0.0,0.4448551343283582,0.0,0.013,0.0,0.7653904497619693,0.0,0.02025538823841932,0.0,0.013000000000000001,0.0,0.2474188292875168,0.0,0.01796211872968491,0.0,0.003,0.0,0.2474188292875168,0.0,0.01796211872968491,0.0,0.003,0.0,1.0279084419568822,0.0,0.034596437230514095,0.0,0.003,0.0,1.0279084419568822,0.0,0.034596437230514095,0.0,0.003,0.0,1.0279084419568822,0.0,0.034596437230514095,0.0,0.003,0.0,0.02490502461470614,0.0
VOC,0.19692876196467135,0.0,5.0,0.0,0.48489095932382104,0.0,0.2816755841312002,0.0,4.0,0.0,0.3377575951907131,0.0,5.0,0.0,1.7850998993919294,0.0,1.5092435812603646,0.0,1.3379904660052226,0.0,0.418689295805298,0.0,1.3588337857786896,0.0,0.22019624667444368,0.0,5.696219601990048,0.0,1.5092435812603646,0.0,0.11,0.0,1.7277937499172369,0.0,4.32887185337055,0.0,0.11,0.0,1.1131266345219433,0.0,0.7639219922056386,0.0,0.15,0.0,1.1131266345219433,0.0,0.7639219922056386,0.0,0.15,0.0,1.8442775096185737,0.0,6.443150650912106,0.0,0.19,0.0,1.8442775096185737,0.0,6.443150650912106,0.0,0.19,0.0,1.8442775096185737,0.0,6.443150650912106,0.0,0.19,0.0,1.4278111813548116,0.0
TOG,0.2125244927205619,0.0,5.0,0.0,0.5141324762286331,0.0,0.31095783422242457,0.0,4.0,0.0,0.35921915595356546,0.0,5.0,0.0,1.8227721047540077,0.0,1.5413387412935322,0.0,1.3714599857378575,0.0,0.47470935730579844,0.0,1.3927560633929268,0.0,0.27933965542301437,0.0,6.121285364842455,0.0,1.5413387412935322,0.0,0.11,0.0,1.7641169946116,0.0,4.651906572947144,0.0,0.11,0.0,1.1365151068536599,0.0,0.8292618543946931,0.0,0.15,0.0,1.1365151068536599,0.0,0.8292618543946931,0.0,0.15,0.0,1.8835646269485906,0.0,6.923957989220564,0.0,0.19,0.0,1.8835646269485906,0.0,6.923957989220564,0.0,0.19,0.0,1.8835646269485906,0.0,6.923957989220564,0.0,0.19,0.0,1.6803491840109959,0.0
CO,3.9036955867834067,0.0,13.0,0.0,6.33275872421349,0.0,2.120548543014041,0.0,40.0,0.0,6.713653815920398,0.0,13.0,0.0,3.2751058734107246,0.0,6.752917255389717,0.0,5.779277829093279,0.0,1.9025496302810472,0.0,5.95294108152451,0.0,0.9101905567766426,0.0,97.3979764096186,0.0,6.752917255389717,0.0,20.12,0.0,3.997583358249126,0.0,53.9573911451325,0.0,20.12,0.0,7.094888234226255,0.0,11.563012510779437,0.0,32.46,0.0,7.094888234226255,0.0,11.563012510779437,0.0,32.46,0.0,5.371580880597015,0.0,93.18706405472639,0.0,40.84,0.0,5.371580880597015,0.0,93.18706405472639,0.0,40.84,0.0,5.371580880597015,0.0,93.18706405472639,0.0,40.84,0.0,16.518748439346716,0.0
SO2,0.06052631874032917,0.0,0.0,0.0,0.07758633411879563,0.0,0.017568668068915397,0.0,0.0,0.0,0.06260594004975124,0.0,0.0,0.0,0.022391247844112772,0.0,0.0271235596185738,0.0,0.02696120902610987,0.0,0.02561244239859805,0.0,0.026961466011614366,0.0,0.025376130622656052,0.0,0.1636019850746269,0.0,0.0271235596185738,0.0,0.0,0.0,0.02337433413970659,0.0,0.12004045661193599,0.0,0.0,0.0,0.017795183138682703,0.0,0.08566558752902156,0.0,0.0,0.0,0.017795183138682703,0.0,0.08566558752902156,0.0,0.0,0.0,0.034529436815920404,0.0,0.17917449087893864,0.0,0.0,0.0,0.034529436815920404,0.0,0.17917449087893864,0.0,0.0,0.0,0.034529436815920404,0.0,0.17917449087893864,0.0,0.0,0.0,0.049362209737957324,0.0
CO2,337.45201924867195,0.0,241.0,0.0,432.5665056142649,0.0,628.3507250360994,0.0,440.0,0.0,349.04657860696517,0.0,250.0,0.0,763.8859203980101,0.0,925.3261749585406,0.0,925.0399717087456,0.0,922.6622693169616,0.0,925.0404247411948,0.0,922.2456819968107,0.0,912.1294262023218,0.0,925.3261749585406,0.0,272.83,0.0,797.4233772224204,0.0,669.2613474069727,0.0,272.83,0.0,607.0878922068098,0.0,477.6113676616916,0.0,377.61,0.0,607.0878922068098,0.0,477.6113676616916,0.0,377.61,0.0,1177.9823490878937,0.0,998.9485514096186,0.0,430.37,0.0,1177.9823490878937,0.0,998.9485514096186,0.0,430.37,0.0,1177.9823490878937,0.0,998.9485514096186,0.0,430.37,0.0,275.20909056148594,0.0
PNO3,1.939503200580596e-05,0.0,0.0,0.0,2.345851464689873e-05,0.0,0.00025480685693155767,0.0,0.0,0.0,4.092672164179105e-05,0.0,0.0,0.0,0.003264584513543393,0.0,0.0014410196616915425,0.0,0.0012001503037451632,0.0,0.00035333554872206516,0.0,0.0012477000994798055,0.0,0.00011915716529959137,0.0,9.917612014925372e-05,0.0,0.0014410196616915425,0.0,0.0,0.0,0.002885758751332004,0.0,5.0318278755089176e-05,0.0,0.0,0.0,0.0009291383532616185,0.0,4.5484224129353233e-05,0.0,0.0,0.0,0.0009291383532616185,0.0,4.5484224129353233e-05,0.0,0.0,0.0,0.004617238111940298,0.0,8.594413992537314e-05,0.0,0.0,0.0,0.004617238111940298,0.0,8.594413992537314e-05,0.0,0.0,0.0,0.004617238111940298,0.0,8.594413992537314e-05,0.0,0.0,0.0,6.378212718050885e-05,0.0
PNH4,0.00018669367330139834,0.0,0.0,0.0,0.00022580826365367756,0.0,0.0005059958004808436,0.0,0.0,0.0,0.0003939547019900497,0.0,0.0,0.0,0.006482811829740188,0.0,0.0028615720398009947,0.0,0.002383254930071148,0.0,0.000701652585825918,0.0,0.0024776789821729013,0.0,0.00023662217271553455,0.0,0.0009546568747927032,0.0,0.0028615720398009947,0.0,0.0,0.0,0.0057305386532853836,0.0,0.00048435659224355993,0.0,0.0,0.0,0.0018450839447942948,0.0,0.0004378245759535655,0.0,0.0,0.0,0.0018450839447942948,0.0,0.0004378245759535655,0.0,0.0,0.0,0.009168911636815921,0.0,0.000827285619402985,0.0,0.0,0.0,0.009168911636815921,0.0,0.000827285619402985,0.0,0.0,0.0,0.009168911636815921,0.0,0.000827285619402985,0.0,0.0,0.0,0.0006139591329386573,0.0
