ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
49,40,4.791351,-74.044975,TERP,mol/h,0.00053382,0.00033743,0.00035596,0.00050379,0.00154065,0.00337529,0.0035667,0.00374531,0.00419193,0.00384077,0.00428655,0.00389708,0.00387534,0.00386154,0.00395063,0.00411954,0.00428963,0.00383304,0.00319645,0.00300134,0.0027351,0.00236669,0.00163933,0.00108241,0.00053382
49,42,4.791351,-74.026985,TERP,mol/h,0.00059709,0.00037748,0.00039816,0.00056352,0.00172333,0.00377547,0.00398956,0.00418935,0.0046889,0.00429613,0.00479471,0.00435906,0.00433478,0.00431939,0.00441895,0.00460789,0.00479817,0.00428746,0.0035754,0.0033571,0.00305935,0.00264725,0.00183371,0.00121082,0.00059709
