ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
49,40,4.791351,-74.044975,PMN,g/h,0.00099644,0.00076219,0.00072709,0.00075883,0.00099101,0.00197099,0.0034731,0.003939,0.00420061,0.00403918,0.00417295,0.00416135,0.00379895,0.0041513,0.00388116,0.00458558,0.00437047,0.00423863,0.00411767,0.0040385,0.00356272,0.00285584,0.00237589,0.00157659,0.00099644
49,42,4.791351,-74.026985,PMN,g/h,0.00111461,0.00085256,0.00081331,0.00084876,0.00110846,0.00220469,0.00388477,0.00440599,0.00469861,0.00451799,0.00466766,0.00465467,0.00424935,0.00464349,0.00434127,0.00512925,0.00488859,0.00474111,0.00460588,0.00451721,0.00398506,0.00319444,0.00265754,0.00176343,0.00111461
