FID_Grilla,ROW,COL,LAT_1,LON_1,Shape_Leng,IDNodo,IDEstacion,Largo_Via,FID_LINK,CLASIFI_SU,LAT,LON
3428.0,53.0,37.0,4.827202,-74.07196,329.259724639,3493.0,1.0,329.26,360.0,Local,4.827202,-74.07196
295.0,45.0,38.0,4.755493,-74.062965,145.447167326,3493.0,1.0,145.447,151.0,Intermedia,4.755493,-74.062965
295.0,45.0,38.0,4.755493,-74.062965,147.134938663,3493.0,1.0,147.135,1117.0,Intermedia,4.755493,-74.062965
