FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
7289,3206,49,40,4.791351,-74.044975,PMG,0.00185906,0.0,0.00123863,0.0,0.00123686,0.0,0.00170969,0.0,0.00467236,0.0,0.01325558,0.0,0.01890595,0.0,0.01553263,0.0,0.01535974,0.0,0.01337549,0.0,0.01533143,0.0,0.01436771,0.0,0.01461641,0.0,0.01529407,0.0,0.01620084,0.0,0.01816595,0.0,0.01812844,0.0,0.01762519,0.0,0.01451679,0.0,0.01271119,0.0,0.01120752,0.0,0.00936669,0.0,0.00603501,0.0,0.00328297,0.0
5530,3209,49,42,4.791351,-74.026985,PMG,0.01282812,0.0,0.00854692,0.0,0.00853487,0.0,0.01179745,0.0,0.03224097,0.0,0.09146843,0.0,0.13045808,0.0,0.10718075,0.0,0.10598775,0.0,0.09229585,0.0,0.1057925,0.0,0.09914243,0.0,0.10085873,0.0,0.10553469,0.0,0.11179173,0.0,0.12535186,0.0,0.1250928,0.0,0.12162036,0.0,0.10017106,0.0,0.0877118,0.0,0.0773359,0.0,0.06463353,0.0,0.04164385,0.0,0.0226537,0.0
8963,3206,49,40,4.791351,-74.044975,PMG,0.00300481,0.0,0.00200197,0.0,0.00199915,0.0,0.00276336,0.0,0.00755195,0.0,0.02142507,0.0,0.03055778,0.0,0.02510544,0.0,0.02482601,0.0,0.02161888,0.0,0.02478025,0.0,0.02322258,0.0,0.02362458,0.0,0.02471987,0.0,0.02618548,0.0,0.02936172,0.0,0.02930104,0.0,0.02848769,0.0,0.02346353,0.0,0.02054515,0.0,0.01811475,0.0,0.01513942,0.0,0.00975443,0.0,0.00530624,0.0
3756,3206,49,40,4.791351,-74.044975,PMG,0.00580919,0.0,0.00387044,0.0,0.00386498,0.0,0.00534246,0.0,0.01460025,0.0,0.04142123,0.0,0.0590776,0.0,0.04853651,0.0,0.04799628,0.0,0.04179594,0.0,0.04790783,0.0,0.0448964,0.0,0.04567362,0.0,0.04779107,0.0,0.05062459,0.0,0.05676527,0.0,0.05664794,0.0,0.05507546,0.0,0.04536223,0.0,0.03972006,0.0,0.03502138,0.0,0.02926912,0.0,0.0188583,0.0,0.01025867,0.0
10049,3206,49,40,4.791351,-74.044975,PMG,0.00079547,0.0,0.00052999,0.0,0.00052923,0.0,0.00073157,0.0,0.00199927,0.0,0.00567194,0.0,0.00808968,0.0,0.00664625,0.0,0.00657228,0.0,0.00572322,0.0,0.0065602,0.0,0.00614782,0.0,0.00625423,0.0,0.0065442,0.0,0.0069322,0.0,0.00777306,0.0,0.00775701,0.0,0.00754168,0.0,0.00621159,0.0,0.005439,0.0,0.00479558,0.0,0.00400794,0.0,0.00258234,0.0,0.00140475,0.0
