FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
360,3428,53,37,4.827202,-74.07196,PAL,0.00276462,0.0,0.00203051,0.0,0.0019723,0.0,0.0022564,0.0,0.00409961,0.0,0.00857053,0.0,0.01199284,0.0,0.01269297,0.0,0.0131303,0.0,0.01228217,0.0,0.0117175,0.0,0.01193691,0.0,0.01145104,0.0,0.01227417,0.0,0.01133847,0.0,0.01323465,0.0,0.01161778,0.0,0.01120487,0.0,0.01069219,0.0,0.01040842,0.0,0.00924077,0.0,0.00735824,0.0,0.00692132,0.0,0.00464856,0.0
1117,295,45,38,4.755493,-74.062965,PAL,0.00207776,0.0,0.00152604,0.0,0.00148227,0.0,0.00169581,0.0,0.00308104,0.0,0.00644112,0.0,0.00901319,0.0,0.00953937,0.0,0.00986802,0.0,0.00923065,0.0,0.00880625,0.0,0.00897117,0.0,0.00860602,0.0,0.00922455,0.0,0.00852139,0.0,0.00994645,0.0,0.00873133,0.0,0.00842098,0.0,0.00803565,0.0,0.00782242,0.0,0.00694488,0.0,0.00553008,0.0,0.00520168,0.0,0.00349361,0.0
151,295,45,38,4.755493,-74.062965,PAL,0.00205391,0.0,0.00150853,0.0,0.00146524,0.0,0.00167632,0.0,0.00304572,0.0,0.00636723,0.0,0.00890977,0.0,0.0094299,0.0,0.00975482,0.0,0.00912471,0.0,0.00870524,0.0,0.00886823,0.0,0.00850726,0.0,0.00911876,0.0,0.00842364,0.0,0.00983234,0.0,0.00863113,0.0,0.00832436,0.0,0.00794348,0.0,0.00773271,0.0,0.00686519,0.0,0.00546659,0.0,0.00514202,0.0,0.00345351,0.0
