FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
360,3428,53,37,4.827202,-74.07196,PSI,0.00271978,0.0,0.00210132,0.0,0.00203756,0.0,0.00201758,0.0,0.002545,0.0,0.00607213,0.0,0.0117567,0.0,0.01266847,0.0,0.01253684,0.0,0.01213423,0.0,0.01278181,0.0,0.01255886,0.0,0.01209566,0.0,0.01321926,0.0,0.01226709,0.0,0.0142493,0.0,0.01404378,0.0,0.01382511,0.0,0.01358739,0.0,0.01323811,0.0,0.0119532,0.0,0.00957385,0.0,0.00752072,0.0,0.00443119,0.0
1117,295,45,38,4.755493,-74.062965,PSI,0.00701112,0.0,0.00553643,0.0,0.00551402,0.0,0.00657254,0.0,0.01245986,0.0,0.02427514,0.0,0.02872939,0.0,0.02698587,0.0,0.02829051,0.0,0.0275969,0.0,0.0265139,0.0,0.02744318,0.0,0.02529311,0.0,0.02727791,0.0,0.02434566,0.0,0.02933657,0.0,0.0245281,0.0,0.02277419,0.0,0.02096757,0.0,0.02089096,0.0,0.01813082,0.0,0.01362525,0.0,0.01445579,0.0,0.01060742,0.0
151,295,45,38,4.755493,-74.062965,PSI,0.00693066,0.0,0.00547289,0.0,0.0054508,0.0,0.00649715,0.0,0.01231689,0.0,0.02399663,0.0,0.0283998,0.0,0.02667624,0.0,0.02796598,0.0,0.02728029,0.0,0.0262097,0.0,0.02712833,0.0,0.0250029,0.0,0.02696496,0.0,0.02406632,0.0,0.02899999,0.0,0.02424671,0.0,0.02251291,0.0,0.02072703,0.0,0.0206513,0.0,0.01792285,0.0,0.01346888,0.0,0.01428994,0.0,0.01048573,0.0
