FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
7289,3206,49,40,4.791351,-74.044975,PSI,0.01461509,0.0,0.01014823,0.0,0.0107136,0.0,0.01561561,0.0,0.04345106,0.0,0.09248412,0.0,0.09577624,0.0,0.09311403,0.0,0.10279638,0.0,0.09209238,0.0,0.11048761,0.0,0.09928165,0.0,0.10038429,0.0,0.10095251,0.0,0.10280449,0.0,0.10846177,0.0,0.11014454,0.0,0.0973718,0.0,0.08111515,0.0,0.0777779,0.0,0.07058081,0.0,0.06084116,0.0,0.0420174,0.0,0.02742431,0.0
5530,3209,49,42,4.791351,-74.026985,PSI,0.10084961,0.0,0.07002657,0.0,0.07392782,0.0,0.10775331,0.0,0.29982838,0.0,0.63817431,0.0,0.66089118,0.0,0.64252092,0.0,0.70933253,0.0,0.63547133,0.0,0.76240509,0.0,0.68507963,0.0,0.69268847,0.0,0.69660938,0.0,0.70938863,0.0,0.74842598,0.0,0.76003776,0.0,0.67190112,0.0,0.55972425,0.0,0.53669585,0.0,0.48703344,0.0,0.41982634,0.0,0.28993566,0.0,0.18923775,0.0
8963,3206,49,40,4.791351,-74.044975,PSI,0.02362245,0.0,0.01640264,0.0,0.01731648,0.0,0.02523959,0.0,0.0702302,0.0,0.14948249,0.0,0.15480357,0.0,0.15050061,0.0,0.16615019,0.0,0.14884935,0.0,0.17858164,0.0,0.16046935,0.0,0.16225158,0.0,0.16317001,0.0,0.16616331,0.0,0.1753072,0.0,0.17802712,0.0,0.15738245,0.0,0.13110677,0.0,0.12571272,0.0,0.11408002,0.0,0.09833782,0.0,0.06791296,0.0,0.044326,0.0
3756,3206,49,40,4.791351,-74.044975,PSI,0.04566947,0.0,0.03171137,0.0,0.03347802,0.0,0.0487958,0.0,0.13577649,0.0,0.28899552,0.0,0.29928281,0.0,0.2909639,0.0,0.32121933,0.0,0.28777149,0.0,0.34525312,0.0,0.31023651,0.0,0.31368211,0.0,0.31545771,0.0,0.32124478,0.0,0.33892269,0.0,0.34418109,0.0,0.30426861,0.0,0.25346962,0.0,0.24304132,0.0,0.22055179,0.0,0.19011725,0.0,0.1312966,0.0,0.08569582,0.0
10049,3206,49,40,4.791351,-74.044975,PSI,0.00625366,0.0,0.00434234,0.0,0.00458424,0.0,0.00668177,0.0,0.01859231,0.0,0.03957303,0.0,0.04098172,0.0,0.03984257,0.0,0.04398557,0.0,0.03940548,0.0,0.04727659,0.0,0.04248164,0.0,0.04295348,0.0,0.04319659,0.0,0.04398908,0.0,0.04640975,0.0,0.0471298,0.0,0.04166446,0.0,0.03470841,0.0,0.03328041,0.0,0.03020085,0.0,0.02603337,0.0,0.01797885,0.0,0.0117346,0.0
