FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
7289,3206,49,40,4.791351,-74.044975,ETOH,0.01884574,0.0,0.01427849,0.0,0.01395306,0.0,0.01800843,0.0,0.06488229,0.0,0.23140897,0.0,0.35268735,0.0,0.20794142,0.0,0.17047819,0.0,0.11280717,0.0,0.13254851,0.0,0.1259887,0.0,0.14345115,0.0,0.17491022,0.0,0.21189103,0.0,0.3267156,0.0,0.28692734,0.0,0.22399563,0.0,0.15898903,0.0,0.11821619,0.0,0.09669019,0.0,0.07571506,0.0,0.04997577,0.0,0.02752436,0.0
5530,3209,49,42,4.791351,-74.026985,ETOH,0.13004237,0.0,0.09852677,0.0,0.09628106,0.0,0.12426465,0.0,0.44771172,0.0,1.59680676,0.0,2.43367192,0.0,1.43487202,0.0,1.176362,0.0,0.77841089,0.0,0.91463326,0.0,0.86936818,0.0,0.9898654,0.0,1.20694461,0.0,1.46212574,0.0,2.25445726,0.0,1.97990374,0.0,1.545652,0.0,1.09708248,0.0,0.81573505,0.0,0.66719771,0.0,0.5224617,0.0,0.34485118,0.0,0.18992812,0.0
8963,3206,49,40,4.791351,-74.044975,ETOH,0.03046043,0.0,0.02307837,0.0,0.02255234,0.0,0.02910707,0.0,0.10486957,0.0,0.37402734,0.0,0.57005008,0.0,0.33609663,0.0,0.27554464,0.0,0.18233074,0.0,0.21423873,0.0,0.20363607,0.0,0.2318607,0.0,0.28270814,0.0,0.34248039,0.0,0.5280718,0.0,0.4637619,0.0,0.36204511,0.0,0.25697464,0.0,0.19107335,0.0,0.15628077,0.0,0.12237859,0.0,0.08077604,0.0,0.04448774,0.0
3756,3206,49,40,4.791351,-74.044975,ETOH,0.05888933,0.0,0.04461757,0.0,0.04360063,0.0,0.05627291,0.0,0.20274506,0.0,0.7231097,0.0,1.10208185,0.0,0.64977798,0.0,0.53271239,0.0,0.35250129,0.0,0.41418924,0.0,0.39369108,0.0,0.44825792,0.0,0.54656164,0.0,0.66211974,0.0,1.02092498,0.0,0.89659414,0.0,0.69994438,0.0,0.49681087,0.0,0.36940344,0.0,0.30213872,0.0,0.2365954,0.0,0.15616492,0.0,0.08600845,0.0
10049,3206,49,40,4.791351,-74.044975,ETOH,0.00806391,0.0,0.00610962,0.0,0.00597037,0.0,0.00770563,0.0,0.02776252,0.0,0.09901768,0.0,0.15091153,0.0,0.08897612,0.0,0.07294599,0.0,0.04826911,0.0,0.05671623,0.0,0.05390936,0.0,0.06138136,0.0,0.07484242,0.0,0.09066612,0.0,0.13979845,0.0,0.12277345,0.0,0.09584559,0.0,0.06802987,0.0,0.05058358,0.0,0.04137279,0.0,0.03239775,0.0,0.02138417,0.0,0.01177741,0.0
