FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
360,3428,53,37,4.827202,-74.07196,CO,536.38575314,0.0,413.64158093,0.0,379.91505675,0.0,381.94406683,0.0,401.81025579,0.0,882.19106623,0.0,1828.68341202,0.0,1972.87961215,0.0,1942.84594268,0.0,1801.73079119,0.0,1960.04252825,0.0,1987.38161061,0.0,1909.10317446,0.0,2154.98695518,0.0,1959.79819843,0.0,2294.47199894,0.0,2244.1896788,0.0,2160.66906856,0.0,2075.27155106,0.0,2011.88278954,0.0,1815.77037673,0.0,1464.73891808,0.0,1196.5202987,0.0,779.80945479,0.0
1117,295,45,38,4.755493,-74.062965,CO,487.21796856,0.0,380.05513546,0.0,357.15669184,0.0,382.61446477,0.0,481.99151042,0.0,973.66995427,0.0,1637.56911661,0.0,1719.177735,0.0,1709.68533564,0.0,1601.64426347,0.0,1698.43091348,0.0,1723.75650046,0.0,1649.08715047,0.0,1864.13200133,0.0,1687.1366704,0.0,1995.32582254,0.0,1878.21379534,0.0,1791.01836485,0.0,1692.75641645,0.0,1651.9481168,0.0,1486.60750805,0.0,1180.19124912,0.0,1026.70388236,0.0,691.30155114,0.0
151,295,45,38,4.755493,-74.062965,CO,481.6283812,0.0,375.69496914,0.0,353.05922695,0.0,378.22493668,0.0,476.46188343,0.0,962.49956731,0.0,1618.78217489,0.0,1699.45454192,0.0,1690.07104367,0.0,1583.26946813,0.0,1678.94573737,0.0,1703.98077762,0.0,1630.16806864,0.0,1842.74582662,0.0,1667.78106707,0.0,1972.43453234,0.0,1856.66606784,0.0,1770.47098325,0.0,1673.33634079,0.0,1632.99621261,0.0,1469.55246693,0.0,1166.65155544,0.0,1014.92506596,0.0,683.37062365,0.0
