OBJECTID_1,OBJECTID,CIV,ELEM,CODIGO_LOC,TIPO_CLA_1,NOMBRE_EJE,NOMBRE_EXT,NOMBRE_E_1,CLASIFI_SU,Shape_Leng,Input_FID,ESTACION,IDNodo,IDEstacion,Classes,Classes_1,Classes_12,CK_DH_Cs,CK_DNH_Cs,IDW_Cs,FID_Grilla,OBJECTID_2,TARGET_FID,OBJECTID_3,Input_FID_,ROW,COL,ORIG_FID,LAT,LON,ESTADO,Largo_via,FID_LINK
1714.0,2489.0,11013229.0,24088631.0,11,1.0,,,,Arterial,458.429624114,0.0,AK_45_X_AC_170,3493.0,1.0,7.0,7.0,6.0,4.17411,4.17411,2.53435,3428.0,3429.0,3428.0,3633.0,3429.0,53.0,37.0,1693.0,4.8272,-74.072,,458.43,1713.0
6394.0,8016.0,11012608.0,24088630.0,11,1.0,,,,Arterial,605.956832219,0.0,AK_45_X_AC_170,3493.0,1.0,7.0,7.0,6.0,4.17411,4.17411,2.53435,3428.0,3429.0,3428.0,3633.0,3429.0,53.0,37.0,6320.0,4.8272,-74.072,,605.957,6393.0
