FID_LINK,FID_Grilla,ROW,COL,LAT,LON,Contaminante,Hora 0,,Hora 1,,Hora 2,,Hora 3,,Hora 4,,Hora 5,,Hora 6,,Hora 7,,Hora 8,,Hora 9,,Hora 10,,Hora 11,,Hora 12,,Hora 13,,Hora 14,,Hora 15,,Hora 16,,Hora 17,,Hora 18,,Hora 19,,Hora 20,,Hora 21,,Hora 22,,Hora 23,
7289,3206,49,40,4.791351,-74.044975,PM2.5 TIRE,0.04836272,0.0,0.02769579,0.0,0.02499373,0.0,0.03368271,0.0,0.09497672,0.0,0.35240399,0.0,0.56557533,0.0,0.43362275,0.0,0.45074265,0.0,0.43090442,0.0,0.45518656,0.0,0.43872244,0.0,0.44338696,0.0,0.47271839,0.0,0.50373111,0.0,0.51621433,0.0,0.51465834,0.0,0.52232726,0.0,0.47576974,0.0,0.45730702,0.0,0.41561221,0.0,0.33116978,0.0,0.19304302,0.0,0.09360121,0.0
5530,3209,49,42,4.791351,-74.026985,PM2.5 TIRE,0.33372053,0.0,0.19111098,0.0,0.172466,0.0,0.23242312,0.0,0.65537448,0.0,2.43171676,0.0,3.90267711,0.0,2.99215596,0.0,3.11028938,0.0,2.97339822,0.0,3.14095392,0.0,3.02734555,0.0,3.05953258,0.0,3.26193012,0.0,3.47592908,0.0,3.56206806,0.0,3.55133128,0.0,3.60424949,0.0,3.28298557,0.0,3.15558609,0.0,2.86787653,0.0,2.28519301,0.0,1.33206756,0.0,0.64588282,0.0
8963,3206,49,40,4.791351,-74.044975,PM2.5 TIRE,0.07816888,0.0,0.04476479,0.0,0.04039748,0.0,0.05444154,0.0,0.15351135,0.0,0.56959213,0.0,0.91414183,0.0,0.70086635,0.0,0.72853725,0.0,0.69647266,0.0,0.73571996,0.0,0.70910894,0.0,0.71664828,0.0,0.76405674,0.0,0.81418273,0.0,0.83435945,0.0,0.83184451,0.0,0.8442398,0.0,0.76898867,0.0,0.73914734,0.0,0.67175582,0.0,0.5352712,0.0,0.31201626,0.0,0.15128809,0.0
3756,3206,49,40,4.791351,-74.044975,PM2.5 TIRE,0.15112447,0.0,0.0865441,0.0,0.07810071,0.0,0.10525217,0.0,0.2967846,0.0,1.10119643,0.0,1.76731693,0.0,1.35498988,0.0,1.40848624,0.0,1.34649549,0.0,1.42237261,0.0,1.37092539,0.0,1.38550119,0.0,1.47715634,0.0,1.57406522,0.0,1.61307305,0.0,1.60821091,0.0,1.63217477,0.0,1.48669126,0.0,1.42899876,0.0,1.29871029,0.0,1.03484358,0.0,0.60322325,0.0,0.29248634,0.0
10049,3206,49,40,4.791351,-74.044975,PM2.5 TIRE,0.02069396,0.0,0.01185072,0.0,0.0106946,0.0,0.01441251,0.0,0.04063965,0.0,0.15079031,0.0,0.24200424,0.0,0.18554302,0.0,0.19286846,0.0,0.18437987,0.0,0.19476994,0.0,0.1877251,0.0,0.18972103,0.0,0.20227167,0.0,0.21554169,0.0,0.22088313,0.0,0.22021737,0.0,0.22349883,0.0,0.20357729,0.0,0.1956773,0.0,0.17783649,0.0,0.14170439,0.0,0.08260124,0.0,0.04005106,0.0
