Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
L_AK_45_AC_170,NOHAB,1,3493,10,6.735563128,2.016001974,8.718605186,6.206666667,58.29833333,32.67175785,1966.848648,4.655,15.04166666,22.95833334,77.86024407,7.187442993,14.95090193,30.40810527,2.807036194,5.839033837,5.407423921,1.618480458,6.999443602,117.6676084,13.49052823,707.8657609,0.967084283,0.092704449,36.6631272,13.54692675,7.853198535,8.507898227,8.866666666,326.2933334,266.0957685,182.6665967,1.612740467,0.482704698,2.087553355
L_AK_45_AC_170,NOHAB,1,3493,11,6.261227698,1.874030004,8.104618908,8.423333333,51.87,31.95156337,1923.492746,4.433333333,26.125,25.01666666,83.08966344,7.670181701,15.95506698,28.85864767,2.664002502,5.541503449,5.69202518,1.70366364,7.367835371,115.0738219,13.19315201,692.2620394,1.174780237,0.112614129,44.53708742,10.53649858,6.108043304,6.617254175,8.391666666,326.8,260.2301305,178.6400159,2.561411331,0.766648638,3.315525917
L_AK_45_AC_170,NOHAB,1,3493,12,7.209898563,2.157973945,9.332591472,7.98,58.07666667,28.2547289,1700.942312,5.985,21.21666666,24.7,63.91512573,5.90013977,12.27312845,20.91767751,1.930954834,4.016660219,5.027955576,1.504902882,6.508254577,101.7596417,11.66668839,612.1664852,1.02549877,0.098304046,38.87767851,12.901835,7.4792367,8.102760216,8.55,418.5066666,230.1211901,157.9711503,1.992208813,0.596282274,2.57874238
L_AK_45_AC_170,NOHAB,1,3493,13,7.589366905,2.27155152,9.823780492,6.206666667,61.62333333,31.57057312,1900.55703,5.32,16.30833334,24.06666666,71.27504929,6.579549804,13.68639778,18.98085551,1.752162719,3.644747235,6.261227698,1.874030004,8.104618908,113.7016824,13.03583694,684.007511,1.350023698,0.129412922,51.18074134,14.51456438,8.414141288,9.115605243,8.708333334,440.2933334,257.127148,176.5099134,3.604949281,1.078986972,4.666295735
L_AK_45_AC_170,NOHAB,1,3493,14,6.356094786,1.902424399,8.227416167,7.315,64.505,30.47184639,1834.413384,5.763333333,15.04166666,21.53333334,46.67741,4.308889954,8.963102897,19.75558432,1.823679565,3.793512429,6.071493527,1.817241217,7.859024398,109.7446089,12.58216059,660.2025158,0.947612788,0.090837916,35.92494343,16.01977846,9.286718901,10.06092727,7.6,404.32,248.1785467,170.3669726,2.751145504,0.823437426,3.561120429
L_AK_45_AC_170,NOHAB,1,3493,15,8.632904858,2.583889855,11.17455032,7.536666667,68.05166667,36.92410071,2222.840837,5.541666667,18.36666666,24.225,53.06892258,4.898903931,10.19041574,32.15124507,2.967949097,6.173755522,5.217689749,1.56169167,6.75384909,132.9824566,15.24636738,799.9969503,1.194251733,0.114480662,45.27527119,16.77238551,9.72300771,10.53358828,8.391666666,412.68,300.7290577,206.4412893,6.640696045,1.987607581,8.595807935
L_AK_45_AC_170,NOHAB,1,3493,16,5.407423921,1.618480458,6.999443602,6.871666667,53.64333333,37.93433938,2283.657478,5.541666667,14.56666666,21.05833334,37.96171104,3.50432544,7.289494472,23.2418639,2.145505371,4.462955799,3.794683454,1.13577576,4.911890248,136.6208396,15.66350604,821.8847646,0.908669796,0.087104851,34.4485759,16.44983963,9.536026793,10.33101928,7.441666666,401.0266666,308.9569663,212.0894966,3.320348022,0.99380379,4.297903966
L_AK_45_AC_170,NOHAB,1,3493,17,4.269018885,1.27774773,5.525876528,6.871666667,60.95833333,37.06174879,2231.127289,5.541666667,11.875,19,33.89438486,3.128862,6.508477207,23.6292283,2.181263794,4.537338395,2.84601259,0.85183182,3.683917685,133.4781973,15.30320378,802.9792315,0.746407333,0.071550414,28.29704449,15.26717142,8.850430096,9.588266257,7.758333334,396.72,301.8501352,207.2108747,3.130613849,0.937015002,4.052309454
L_AK_45_AC_170,NOHAB,1,3493,18,3.984417626,1.192564548,5.15748476,8.423333333,63.175,37.26576292,2243.408995,3.768333333,14.88333334,20.58333334,25.95341468,2.395814331,4.983633975,16.26930473,1.50185376,3.124069059,0.948670864,0.28394394,1.227972562,134.2129559,15.38744346,807.3993982,0.772369327,0.074039124,29.28128951,14.83711025,8.601122205,9.318174248,8.233333334,312.6133334,303.5117323,208.3515102,2.0870759,0.624676668,2.701539636
L_AK_45_AC_170,NOHAB,1,3493,19,3.510082195,1.050592578,4.543498479,7.315,58.96333333,36.17441019,2177.709265,5.098333333,15.04166666,17.1,28.47128328,2.62824408,5.467120853,19.36821992,1.787921143,3.719129833,1.802474641,0.539493486,2.333147868,130.28244,14.93681192,783.7541682,0.824293316,0.079016544,31.24977957,13.97698792,8.102506426,8.777990235,8.391666666,284.4933334,294.6231887,202.2497972,2.561411331,0.766648638,3.315525917
